d7628c89122e8659c73070c56364fac3791cfa0c,taskName,raceSet,blackLabels,whiteLabels,taskNumber,taskURL,name,response,serial,declined,submitLatency,log_serial,trial_id,responseHandle,latency,stimuli,media,data,block3Cond,feedback,d,pristineLatency
d7628c89122e8659c73070c56364fac3791cfa0c,mgr,b,"[""Black people""]","[""White people""]",,,,,,,,,,,,,,,,,,
d7628c89122e8659c73070c56364fac3791cfa0c,realstart,,,,1,realstart.jst,,,,,,,,,,,,,,,,
d7628c89122e8659c73070c56364fac3791cfa0c,explicits,,,,2,explicits.js,,,,,,,,,,,,,,,,
d7628c89122e8659c73070c56364fac3791cfa0c,explicits,,,,,,Tblack_0to10,,0,true,5918,,,,,,,,,,,
d7628c89122e8659c73070c56364fac3791cfa0c,explicits,,,,,,Twhite_0to10,,1,true,950.5999994277954,,,,,,,,,,,
d7628c89122e8659c73070c56364fac3791cfa0c,explicits,,,,,,attributes7,,2,true,1195.0999994277954,,,,,,,,,,,
d7628c89122e8659c73070c56364fac3791cfa0c,demographics,,,,3,demographics.js,,,,,,,,,,,,,,,,
d7628c89122e8659c73070c56364fac3791cfa0c,demographics,,,,,,birthSex,,3,true,3130.699999809265,,,,,,,,,,,
d7628c89122e8659c73070c56364fac3791cfa0c,demographics,,,,,,genderIdentity,,4,true,3128,,,,,,,,,,,
d7628c89122e8659c73070c56364fac3791cfa0c,demographics,,,,,,birthmonth,,5,true,1008.1999998092651,,,,,,,,,,,
d7628c89122e8659c73070c56364fac3791cfa0c,demographics,,,,,,birthyear,,6,true,852.0999994277954,,,,,,,,,,,
d7628c89122e8659c73070c56364fac3791cfa0c,demographics,,,,,,raceomb002,,7,true,1058.1999998092651,,,,,,,,,,,
d7628c89122e8659c73070c56364fac3791cfa0c,demographics,,,,,,ethnicityomb,,8,true,1056.3000001907349,,,,,,,,,,,
d7628c89122e8659c73070c56364fac3791cfa0c,demographics,,,,,,num002,,9,true,866.3000001907349,,,,,,,,,,,
d7628c89122e8659c73070c56364fac3791cfa0c,demographics,,,,,,religion2014,,10,true,1585.8000001907349,,,,,,,,,,,
d7628c89122e8659c73070c56364fac3791cfa0c,demographics,,,,,,religionid,,11,true,881.6000003814697,,,,,,,,,,,
d7628c89122e8659c73070c56364fac3791cfa0c,demographics,,,,,,countrycit002,,12,true,965.8999996185303,,,,,,,,,,,
d7628c89122e8659c73070c56364fac3791cfa0c,demographics,,,,,,countryres002,,13,true,823.6999998092651,,,,,,,,,,,
d7628c89122e8659c73070c56364fac3791cfa0c,demographics,,,,,,postcodenow,,14,true,1005,,,,,,,,,,,
d7628c89122e8659c73070c56364fac3791cfa0c,demographics,,,,,,postcodelong,,15,true,1003.8000001907349,,,,,,,,,,,
d7628c89122e8659c73070c56364fac3791cfa0c,demographics,,,,,,edu,,16,true,1581.1000003814697,,,,,,,,,,,
d7628c89122e8659c73070c56364fac3791cfa0c,demographics,,,,,,occuSelf,,17,true,900.9000005722046,,,,,,,,,,,
d7628c89122e8659c73070c56364fac3791cfa0c,raceiat_instructions,,,,4,raceiat_instructions.jst,,,,,,,,,,,,,,,,
d7628c89122e8659c73070c56364fac3791cfa0c,raceiat,,,,5,raceiat.js,,,,,,,,,,,,,,,,
d7628c89122e8659c73070c56364fac3791cfa0c,raceiat,,,,,,instructions,,,,,0,0,space,2672,"[""dummy""]","["" ""]","{""blockStart"":true,""condition"":""instructions"",""score"":0,""block"":0}",,,,
d7628c89122e8659c73070c56364fac3791cfa0c,raceiat,,,,,,cat1right,,,,,1,1,right,1788,"[[""Black people""]]","[""bm3_nc.jpg""]","{""score"":0,""parcel"":""first"",""corResp"":""right"",""condition"":""White people,Black people"",""block"":1}",,,,
d7628c89122e8659c73070c56364fac3791cfa0c,raceiat,,,,,,cat2left,,,,,2,2,left,803,"[[""White people""]]","[""wf2_nc.jpg""]","{""score"":0,""parcel"":""first"",""corResp"":""left"",""condition"":""White people,Black people"",""block"":1}",,,,
d7628c89122e8659c73070c56364fac3791cfa0c,raceiat,,,,,,cat2left,,,,,3,3,left,1798,"[[""White people""]]","[""wm2_nc.jpg""]","{""score"":1,""parcel"":""first"",""corResp"":""left"",""condition"":""White people,Black people"",""block"":1}",,,,
d7628c89122e8659c73070c56364fac3791cfa0c,raceiat,,,,,,cat1right,,,,,4,4,right,2019,"[[""Black people""]]","[""bf1_nc.jpg""]","{""score"":1,""parcel"":""first"",""corResp"":""right"",""condition"":""White people,Black people"",""block"":1}",,,,
d7628c89122e8659c73070c56364fac3791cfa0c,raceiat,,,,,,cat2left,,,,,5,5,left,322,"[[""White people""]]","[""wf3_nc.jpg""]","{""score"":1,""parcel"":""first"",""corResp"":""left"",""condition"":""White people,Black people"",""block"":1}",,,,
